Nuclei,Lyso,Mito,Tublin
0,0,0,0
0.25335236,0,0,0
0.474620102,0.00058581,0,0
0.712072098,0.000469208,0,0
0.872529441,0.00041866,0,0
0.944600551,0.000344824,0,0
1,0.000434178,0.000398857,0
0.810430709,0.00076482,0.000326267,0
0.000848106,0.000329555,0.000320809,0
0.000696658,0.000363647,0.000282264,0
0.000760975,0.000531718,0.00026931,0
0.601113425,0.530118137,0.00028349,0
0.520100605,0.72378469,0.000342226,0
0.446193324,0.887852151,0.000857902,0
0.366731266,1,0.003475599,0.000589081
0.000382179,0.000703245,0.000302367,0.000580814
0.000314403,0.000436535,0.000301748,0.000659553
0.000270948,0.00047679,0.000308696,0.00058803
0.141268084,0.61625382,0.380460628,0.000920673
0.132265256,0.58643138,0.776850955,0.002621991
0.106925933,0.505739671,1,0.011956569
0.082293464,0.412196577,0.932719603,0.02455822
0.034173024,0.175894295,0.43851622,0.01878461
0.000245106,0.000297542,0.000403917,0.000593428
0.000239513,0.000306063,0.000456425,0.000560921
0.000269084,0.000334148,0.000430314,0.000713672
0.005101554,0.062030729,0.126164294,0.426390627
0.010986057,0.088352262,0.217588033,1
0.007282595,0.066397861,0.158211849,0.800621965
0.004446004,0.047027851,0.106021396,0.519445236
0.002879378,0.03328447,0.070030527,0.327287477
0.000602166,0.002224667,0.00667439,0.050874011
0.000337349,0.000329711,0.000592055,0.000819677
0.000384244,0.000363507,0.000750673,0.000978155
0,0,0.000792492,0.001018516
0,0,0.000889067,0.001106041
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
